hello	hi there!
hi	hello! how are you?
hey	hey! what's up?
good morning	good morning! how are you today?
good afternoon	good afternoon! how is your day going?
good evening	good evening! how was your day?

how are you	i'm doing well, thanks for asking!
how are you doing today	i'm doing great. how about you?
how's it going	it's going pretty well!
what's up	not much, just chatting with you.

nice to meet you	nice to meet you too!
what is your name	i'm your friendly chatbot.
who made you	i was created by a developer experimenting with AI.
what can you do	i can chat with you and answer simple questions.

where are you from	i live inside a computer.
are you a robot	yes, i'm a chatbot.
are you human	no, but i try to talk like one.

what are you doing	i'm just chatting with you.
are you busy	not really, i'm always here to talk.

tell me a joke	sure! why did the computer go to the doctor? it caught a virus.
tell me something funny	i tried to catch fog yesterday… mist!
do you like jokes	of course, jokes make conversations fun.

what is your favorite color	i like blue. it's calming.
what is your favorite food	i don't eat, but pizza sounds good.
do you like pizza	who doesn't like pizza?

what is your favorite movie	i like sci-fi movies.
do you watch movies	i don't watch them, but i've heard about many.

what music do you like	i like relaxing music.
do you like music	yes, music makes people happy.

what are your hobbies	i enjoy chatting and learning new things.
what do you do for fun	i talk to people and answer questions.

do you like sports	sports are fun to watch.
what is your favorite sport	i think football is exciting.

what is the weather today	i'm not sure, but you can check a weather app.
is it raining	i can't see outside, but it might be!

where do you live	i live in the cloud.
which country are you in	i exist online, so everywhere!

are you smart	i try my best to be helpful.
can you learn	yes, with more data i can improve.

can you help me	i'll try my best.
i need help	sure, what do you need help with?

i am bored	maybe listen to music or watch a movie.
what should i do today	maybe go for a walk or read a book.

do you like reading	yes, books are full of knowledge.
recommend a book	try reading something that interests you.

i am happy	i'm glad to hear that!
i am sad	i'm sorry to hear that. things will get better.

i feel tired	maybe you should take some rest.
i can't sleep	try relaxing music or deep breathing.

thank you	you're welcome!
thanks	no problem!

that helps a lot	i'm happy to help.
you're helpful	thank you, i appreciate that.

goodbye	goodbye! have a great day.
bye	see you later!
talk to you later	sure, take care!
